;Code indicateur;Thématique;Métrique;Unité / Détail;Mots clés;Keywords
0;B3;Énergie et émissions de GES;Émissions directes de GES (scope 1);tCO₂e;scope 1, émissions, CO₂, GHG, carbone, énergie, développement durable, bilan carbone, climat, décarbonation;scope 1, emissions, CO₂, GHG, carbon, energy, sustainability, carbon footprint, climate, decarbonization
1;B3;Énergie et émissions de GES;Émissions indirectes d’énergie (scope 2);tCO₂e;scope 2, électricité, émissions indirectes, CO₂, GHG, consommation énergétique, énergie, efficacité énergétique, carbone, climat;scope 2, electricity, indirect emissions, CO₂, GHG, energy consumption, energy, energy efficiency, carbon, climate
2;B3;Énergie et émissions de GES;Autres émissions indirectes (scope 3) si disponibles;tCO₂e;scope 3, chaîne de valeur, amont, aval, CO₂, GHG, transport, fournisseurs, clients, empreinte carbone;scope 3, value chain, upstream, downstream, CO₂, GHG, transport, suppliers, customers, carbon footprint
3;B3;Énergie et émissions de GES;Consommation totale d’énergie;kWh ou MWh;énergie, consommation, kWh, MWh, électricité, carburant, bilan énergétique, efficacité, émissions, transition énergétique;energy, consumption, kWh, MWh, electricity, fuel, energy balance, efficiency, emissions, energy transition
4;B5;Biodiversité;Nombre de sites situés dans ou à proximité de zones sensibles;nombre;biodiversité, zones sensibles, sites industriels, environnement, protection, écosystèmes, habitats, faune, flore, impact;biodiversity, sensitive areas, industrial sites, environment, protection, ecosystems, habitats, fauna, flora, impact
5;B5;Biodiversité;Surface totale des sites dans ou à proximité de zones sensibles;ha (hectares);biodiversité, zones naturelles, surface, hectares, écologie, habitat, préservation, sites sensibles, territoire, environnement;biodiversity, natural areas, surface, hectares, ecology, habitat, preservation, sensitive sites, territory, environment
6;B6;Eau;Volume total prélevé;m³;eau, prélevée, ressources, hydrique, volume, m³, captage, gestion, durabilité, environnement;water, withdrawal, resources, hydric, volume, m³, abstraction, management, sustainability, environment
7;B6;Eau;Volume consommé (si pertinent);m³;eau, consommation, m³, utilisation, efficacité hydrique, traitement, réutilisation, bilan hydrique, environnement, ressources;water, consumption, m³, use, water efficiency, treatment, reuse, water balance, environment, resources
8;B6;Eau;Volume prélevé sur sites soumis à stress hydrique;m³;eau, stress hydrique, risques, zones arides, prélèvement, m³, environnement, gestion durable, indicateur hydrique, climat;water, water stress, risk, arid zones, withdrawal, m³, environment, sustainable management, hydric indicator, climate
9;B7;Ressources / Économie circulaire;Quantité totale de déchets produits;tonnes;déchets, production, tonnes, économie circulaire, gestion, environnement, valorisation, bilan matière, recyclage, pollution;waste, production, tons, circular economy, management, environment, valorization, material balance, recycling, pollution
10;B7;Ressources / Économie circulaire;Quantité de déchets dangereux produits;tonnes;déchets dangereux, toxiques, pollution, sécurité, traitement, gestion, environnement, réglementation, tonnes, stockage;hazardous waste, toxic, pollution, safety, treatment, management, environment, regulation, tons, storage
11;B7;Ressources / Économie circulaire;Quantité de déchets non dangereux produits;tonnes;déchets, non dangereux, recyclage, valorisation, économie circulaire, matières, environnement, production, tonnes, tri;waste, non-hazardous, recycling, valorization, circular economy, materials, environment, production, tons, sorting
12;B7;Ressources / Économie circulaire;Quantité de déchets recyclés ou réutilisés;tonnes;recyclage, réutilisation, valorisation, déchets, tonnes, économie circulaire, ressources, matières, durabilité, gestion;recycling, reuse, valorization, waste, tons, circular economy, resources, materials, sustainability, management
13;B7;Ressources / Économie circulaire;Flux massiques annuels de matières utilisées (si pertinent);tonnes;matières, flux massique, consommation, ressources, tonnes, approvisionnement, production, bilan matière, environnement, industrie;materials, mass flow, consumption, resources, tons, supply, production, material balance, environment, industry
14;B8;Effectifs;Nombre total de salariés;nombre;effectifs, salariés, RH, travail, personnel, emploi, effectif total, organisation, social, ressources humaines;workforce, employees, HR, work, staff, employment, total headcount, organization, social, human resources
15;B8;Effectifs;Nombre de salariés par type de contrat (CDI/CDD/intérim);nombre;contrat, CDI, CDD, intérim, emploi, RH, effectifs, statut, ressources humaines, travail;contract, permanent, fixed-term, temporary, employment, HR, workforce, status, human resources, labor
16;B8;Effectifs;Nombre de salariés par sexe;nombre;égalité, genre, hommes, femmes, effectifs, parité, RH, diversité, inclusion, emploi;equality, gender, men, women, workforce, parity, HR, diversity, inclusion, employment
17;B8;Effectifs;Nombre de salariés par pays;nombre;effectifs, pays, répartition géographique, emploi, international, RH, diversité, organisation, implantations, salariés;workforce, countries, geographical distribution, employment, international, HR, diversity, organization, locations, employees
18;B8;Effectifs;Taux de rotation des salariés (si ≥ 50 salariés);%;rotation, turnover, mobilité, fidélisation, salariés, RH, emploi, effectifs, ressources humaines, taux;turnover, rotation, mobility, retention, employees, HR, employment, workforce, human resources, rate
19;B9;Santé & sécurité;Nombre d’accidents du travail comptabilisables;nombre;accidents, travail, sécurité, santé, risques, prévention, fréquence, conditions de travail, indicateur social, salariés;accidents, work, safety, health, risks, prevention, frequency, working conditions, social indicator, employees
20;B9;Santé & sécurité;Taux d’accidents du travail;%;accidents, taux, fréquence, gravité, sécurité, santé, prévention, conditions de travail, risques, indicateur sécurité;accidents, rate, frequency, severity, safety, health, prevention, working conditions, risks, safety indicator
21;B9;Santé & sécurité;Nombre de décès liés à des accidents ou maladies professionnelles;nombre;décès, accidents, maladies professionnelles, sécurité, santé, travail, risques, prévention, indicateur social, zéro accident;deaths, accidents, occupational diseases, safety, health, work, risks, prevention, social indicator, zero accident
22;B10;Rémunération;Écart de rémunération femmes / hommes;%;rémunération, écart, égalité salariale, genre, femmes, hommes, parité, RH, salaires, équité;pay, salary, gap, gender equality, women, men, parity, HR, wages, equity, compensation
23;B10;Rémunération;Pourcentage de salariés couverts par une convention collective;%;convention collective, droit du travail, syndicat, couverture, accord, RH, conditions de travail, salariés, juridique, protection;collective agreement, labor law, union, coverage, agreement, HR, working conditions, employees, legal, protection
24;B10;Formation;Nombre moyen d’heures de formation par salarié;heures/an;formation, heures, compétences, développement, apprentissage, salariés, RH, évolution, professionnelle, capacité;training, hours, skills, development, learning, employees, HR, career, professional, capacity
25;B10;Formation;Nombre moyen d’heures de formation par sexe;heures/an;formation, égalité, genre, hommes, femmes, développement, compétences, RH, apprentissage, parité;training, equality, gender, men, women, development, skills, HR, learning, parity
26;B11;Gouvernance / Corruption;Nombre total de condamnations pour corruption;nombre;corruption, condamnations, éthique, gouvernance, intégrité, conformité, risques, transparence, anticorruption, juridique;corruption, convictions, ethics, governance, integrity, compliance, risks, transparency, anti-corruption, legal
27;B11;Gouvernance / Corruption;Montant total des amendes pour corruption;€;amendes, corruption, sanctions, éthique, gouvernance, intégrité, juridique, conformité, transparence, responsabilité;fines, corruption, penalties, ethics, governance, integrity, legal, compliance, transparency, accountability
