;Code indicateur;Thématique;Métrique;Unité / Détail;Mots clés;Keywords
0;B1;Base de préparation du rapport;Liste des filiales incluses dans le rapport de durabilité (nom et adresse légale);texte / liste;filiales, liste des filiales, adresse enregistrée, groupe, périmètre, consolidation, entités incluses;subsidiaries, list of subsidiaries, registered address, group, consolidation perimeter, included entities
1;B1;Base de préparation du rapport;Forme juridique de l’entreprise;texte;forme juridique, statut légal, société anonyme, SARL, SAS, entreprise individuelle, droit des sociétés;legal form, legal status, corporation, limited company, partnership, sole trader, company law
2;B1;Base de préparation du rapport;Code(s) NACE du secteur d’activité;code NACE;NACE, code activité, classification sectorielle, secteur économique, industrie, réglementation européenne;NACE, activity code, sector classification, economic sector, industry, EU classification
3;B1;Base de préparation du rapport;Taille du bilan;€;taille du bilan, total bilan, actif, passif, seuils micro, petite, moyenne entreprise;balance sheet total, total assets, liabilities, micro enterprise, small enterprise, medium enterprise
4;B1;Base de préparation du rapport;Chiffre d’affaires net;€;chiffre d’affaires, ventes, revenus, net turnover, performance financière, taille de l’entreprise;turnover, revenue, sales, net turnover, financial performance, company size
5;B1;Base de préparation du rapport;Nombre d’employés (effectif moyen ou équivalents temps plein);nombre;effectif, nombre d’employés, ETP, personnel, taille de l’effectif, ressources humaines;headcount, number of employees, FTE, staff, workforce size, human resources
6;B1;Base de préparation du rapport;Pays principal d’opération et localisation des actifs significatifs;texte;pays d’opération, localisation des actifs, actifs significatifs, implantation géographique, sites principaux;country of operations, location of significant assets, geographic footprint, main sites, operations
7;B1;Base de préparation du rapport;Géolocalisation des sites détenus, loués ou gérés;coordonnées / adresses;géolocalisation, localisation des sites, adresses, sites industriels, bureaux, implantation, carte;geolocation, site location, addresses, industrial sites, offices, facilities, map
8;B1;Base de préparation du rapport;Certifications ou labels liés à la durabilité (description, organisme, date et score le cas échéant);texte;certification, label, ISO 14001, ISO 45001, B Corp, notation ESG, rating, écolabel;certification, label, ISO 14001, ISO 45001, B Corp, ESG rating, ecolabel, sustainability label
9;B2;Pratiques et politiques de durabilité;Pratiques opérationnelles mises en place pour réduire les impacts environnementaux et sociaux;texte / exemples;pratiques, bonnes pratiques, réduction des impacts, consommation d’eau, énergie, pollution, sécurité, conditions de travail;practices, good practices, impact reduction, water consumption, energy, pollution, safety, working conditions
10;B2;Pratiques et politiques de durabilité;Politiques formalisées en matière environnementale, sociale ou de gouvernance (ESG) et disponibilité publique;texte (oui/non et description);politique, politique environnementale, politique sociale, politique de gouvernance, ESG, charte, document public;policy, environmental policy, social policy, governance policy, ESG, code, public document
11;B2;Pratiques et politiques de durabilité;Initiatives et plans futurs en matière de durabilité;texte / plan d’action;initiative future, plan, transition durable, projets à venir, roadmap, stratégie de durabilité;future initiatives, plans, sustainable transition, upcoming projects, roadmap, sustainability strategy
12;B2;Pratiques et politiques de durabilité;Objectifs et cibles pour suivre la mise en œuvre des politiques et les progrès réalisés;texte / indicateurs, valeur cible;objectifs, cibles, KPI, suivi, indicateurs de performance, progrès, plan d’action;targets, goals, KPIs, monitoring, performance indicators, progress, action plan
13;B3;Énergie et émissions de GES;Consommation d’électricité renouvelable;MWh;électricité, énergie renouvelable, consommation, MWh, énergie verte, solaire, éolien, hydroélectricité;electricity, renewable energy, consumption, MWh, green energy, solar, wind, hydropower
14;B3;Énergie et émissions de GES;Consommation d’électricité non renouvelable;MWh;électricité, énergie non renouvelable, consommation, MWh, réseau, énergie fossile;electricity, non-renewable energy, consumption, MWh, grid, fossil energy
15;B3;Énergie et émissions de GES;Consommation totale d’électricité;MWh;électricité, consommation totale, MWh, énergie, facture d’électricité, bilan énergétique;electricity, total consumption, MWh, energy, electricity bill, energy balance
16;B3;Énergie et émissions de GES;Consommation de combustibles renouvelables;MWh;combustibles, carburants, énergie renouvelable, biomasse, biogaz, MWh, consommation;fuels, renewable fuels, biomass, biogas, MWh, energy consumption
17;B3;Énergie et émissions de GES;Consommation de combustibles non renouvelables;MWh;combustibles, carburants fossiles, diesel, gaz naturel, pétrole, MWh, consommation;fuels, fossil fuels, diesel, natural gas, oil, MWh, energy consumption
18;B3;Énergie et émissions de GES;Consommation totale de combustibles;MWh;combustibles, carburants, consommation totale, énergie, MWh, bilan énergétique;fuels, total fuel consumption, energy, MWh, energy balance
19;B3;Énergie et émissions de GES;Intensité des émissions de GES (émissions de GES / chiffre d’affaires);tCO₂e/€ de chiffre d’affaires;intensité carbone, intensité GES, tCO₂e, chiffre d’affaires, performance climatique, efficacité carbone;GHG intensity, carbon intensity, tCO₂e, revenue, climate performance, carbon efficiency
20;B4;Pollution;Émissions de polluants dans l’air (par substance réglementée);kg ou tonnes/an;pollution de l’air, NOx, SOx, particules, COV, émissions atmosphériques, registre des émissions;air pollution, NOx, SOx, particulate matter, VOC, air emissions, pollutant register
21;B4;Pollution;Émissions de polluants dans l’eau (par substance réglementée);kg ou tonnes/an;pollution de l’eau, rejets aqueux, substances dangereuses, effluents, milieux aquatiques;water pollution, effluents, hazardous substances, discharges, aquatic environment
22;B4;Pollution;Émissions de polluants dans le sol (par substance réglementée);kg ou tonnes/an;pollution des sols, contamination, rejets, substances dangereuses, sites pollués;soil pollution, contamination, releases, hazardous substances, contaminated sites
23;B5;Biodiversité / Occupation des sols;Utilisation totale des terres par l’entreprise;ha;occupation des sols, surface totale, foncier, hectares, empreinte foncière, terrains;land use, total land, hectares, land footprint, land area, sites
24;B5;Biodiversité / Occupation des sols;Surface totale artificialisée ou imperméabilisée;ha;surface imperméabilisée, sols artificialisés, béton, bâtiments, parking, infrastructures;sealed area, impervious surface, artificial land, buildings, paved areas, infrastructure
25;B5;Biodiversité / Occupation des sols;Surface totale à vocation naturelle sur site;ha;surface naturelle, espaces verts, biodiversité, zones de nature, aménagement paysager;nature-oriented area on-site, green areas, biodiversity, natural zones, landscaping
