;Code indicateur;Thématique;Métrique;Unité / Détail;Mots clés;Keywords
0;C1;Stratégie et modèle d’affaires;Description des principaux groupes de produits et/ou services;texte;modèle d’affaires, produits, services, offre, portefeuille, segments, propositions de valeur;business model, products, services, offering, portfolio, segments, value proposition
1;C1;Stratégie et modèle d’affaires;Description des principaux marchés (B2B, B2C, pays, canaux);texte;marchés, clients, B2B, B2C, pays, géographies, segments de marché, distribution;markets, customers, B2B, B2C, countries, geographies, market segments, distribution
2;C1;Stratégie et modèle d’affaires;Description des principales relations d’affaires (fournisseurs, clients clés, canaux de distribution);texte;relations d’affaires, fournisseurs, clients, chaîne de valeur, partenaires, distribution, écosystème;business relationships, suppliers, key customers, value chain, partners, distribution, ecosystem
3;C1;Stratégie et durabilité;Éléments de stratégie liés aux enjeux de durabilité (objectifs, priorités, axes de transition);texte;stratégie de durabilité, transition, climat, social, gouvernance, objectifs ESG, feuille de route;sustainability strategy, transition, climate, social, governance, ESG goals, roadmap
4;C2;Pratiques et politiques de durabilité;Description synthétique des pratiques, politiques et initiatives de transition durable (complément B2);texte;pratiques, politiques, initiatives, transition durable, gouvernance ESG, gestion des risques;practices, policies, initiatives, sustainable transition, ESG governance, risk management
5;C2;Gouvernance de la durabilité;Niveau hiérarchique responsable de la mise en œuvre des politiques et initiatives de durabilité;texte (fonction/instance);responsabilité, gouvernance, direction, conseil, comité ESG, responsable RSE;responsibility, governance, management, board, ESG committee, sustainability officer
6;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 1 (valeur absolue et année cible);tCO₂e et année cible;objectif GES, scope 1, réduction des émissions, cible climatique, neutralité carbone;GHG target, scope 1, emission reduction, climate target, carbon neutrality
7;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 2 (valeur absolue et année cible);tCO₂e et année cible;objectif GES, scope 2, électricité, énergie achetée, réduction des émissions;GHG target, scope 2, purchased energy, electricity, emission reduction
8;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 3 (si applicables);tCO₂e et année cible;objectif GES, scope 3, chaîne de valeur, amont, aval, transition climatique;GHG target, scope 3, value chain, upstream, downstream, climate transition
9;C3;Climat / Objectifs de réduction GES;Année de référence et niveau d’émissions de référence pour les objectifs GES;année de base et tCO₂e;année de base, baseline, émissions de référence, trajectoire de réduction, historique;base year, baseline, reference emissions, reduction pathway, historical emissions
10;C3;Climat / Objectifs de réduction GES;Part des scopes 1, 2 et 3 couverts par les objectifs (en pourcentage des émissions totales);%;couverture des objectifs, scopes 1 2 3, pourcentage des émissions couvertes, périmètre climatique;target coverage, scopes 1 2 3, percentage of emissions covered, climate scope
11;C3;Climat / Plan de transition;Principales actions prévues pour atteindre les objectifs climatiques;texte / liste;plan d’action, mesures de réduction, efficacité énergétique, renouvelables, décarbonation;action plan, reduction measures, energy efficiency, renewables, decarbonisation
12;C3;Climat / Plan de transition;Existence d’un plan de transition climatique formel pour les secteurs à fort impact;binaire (Oui/Non) + description;plan de transition, climat, secteurs à fort impact, alignement, stratégie bas carbone;climate transition plan, high climate impact sectors, low-carbon strategy, alignment
13;C3;Climat / Plan de transition;Intention et horizon pour l’adoption d’un plan de transition climatique (si absence actuelle);texte;projet de plan de transition, calendrier, engagement futur, stratégie climatique;planned transition plan, timeline, future commitment, climate strategy
14;C4;Risques climatiques;Description des aléas physiques et événements de transition liés au climat identifiés;texte;risques climatiques, aléas physiques, transition bas carbone, réglementation, marché;climate risks, physical hazards, transition risks, regulation, market changes
15;C4;Risques climatiques;Méthodes d’évaluation de l’exposition et de la sensibilité des actifs, activités et chaîne de valeur aux risques climatiques;texte;évaluation des risques, exposition, sensibilité, scénarios climatiques, analyse de vulnérabilité;risk assessment, exposure, sensitivity, climate scenarios, vulnerability analysis
16;C4;Risques climatiques;Horizon temporel des risques climatiques identifiés (court, moyen, long terme);texte / catégories de temps;horizon temporel, court terme, moyen terme, long terme, planification, prospective;time horizon, short term, medium term, long term, planning, foresight
17;C4;Risques climatiques;Actions d’adaptation mises en œuvre pour répondre aux risques climatiques;texte;adaptation, résilience, mesures d’adaptation, infrastructures, continuité d’activité;adaptation, resilience, adaptation measures, infrastructure, business continuity
