;Code indicateur;Thématique;Métrique;Unité / Détail;Mots clés;Keywords;code_vsme;defaut
0;B3;Énergie et émissions de GES;Émissions directes de GES (scope 1);tCO₂e;scope 1, émissions, CO₂, GHG, carbone, énergie, développement durable, bilan carbone, climat, décarbonation;scope 1, emissions, CO₂, GHG, carbon, energy, sustainability, carbon footprint, climate, decarbonization;B3_1;1
1;B3;Énergie et émissions de GES;Émissions indirectes d’énergie (scope 2);tCO₂e;scope 2, électricité, émissions indirectes, CO₂, GHG, consommation énergétique, énergie, efficacité énergétique, carbone, climat;scope 2, electricity, indirect emissions, CO₂, GHG, energy consumption, energy, energy efficiency, carbon, climate;B3_2;1
2;B3;Énergie et émissions de GES;Autres émissions indirectes (scope 3) si disponibles;tCO₂e;scope 3, chaîne de valeur, amont, aval, CO₂, GHG, transport, fournisseurs, clients, empreinte carbone;scope 3, value chain, upstream, downstream, CO₂, GHG, transport, suppliers, customers, carbon footprint;B3_3;1
3;B3;Énergie et émissions de GES;Consommation totale d’énergie;kWh ou MWh;énergie, consommation, kWh, MWh, électricité, carburant, bilan énergétique, efficacité, émissions, transition énergétique;energy, consumption, kWh, MWh, electricity, fuel, energy balance, efficiency, emissions, energy transition;B3_4;1
4;B5;Biodiversité;Nombre de sites situés dans ou à proximité de zones sensibles;nombre;biodiversité, zones sensibles, sites industriels, environnement, protection, écosystèmes, habitats, faune, flore, impact;biodiversity, sensitive areas, industrial sites, environment, protection, ecosystems, habitats, fauna, flora, impact;B5_1;1
5;B5;Biodiversité;Surface totale des sites dans ou à proximité de zones sensibles;ha (hectares);biodiversité, zones naturelles, surface, hectares, écologie, habitat, préservation, sites sensibles, territoire, environnement;biodiversity, natural areas, surface, hectares, ecology, habitat, preservation, sensitive sites, territory, environment;B5_2;1
6;B6;Eau;Volume total prélevé;m³;eau, prélevée, ressources, hydrique, volume, m³, captage, gestion, durabilité, environnement;water, withdrawal, resources, hydric, volume, m³, abstraction, management, sustainability, environment;B6_1;1
7;B6;Eau;Volume consommé (si pertinent);m³;eau, consommation, m³, utilisation, efficacité hydrique, traitement, réutilisation, bilan hydrique, environnement, ressources;water, consumption, m³, use, water efficiency, treatment, reuse, water balance, environment, resources;B6_2;1
8;B6;Eau;Volume prélevé sur sites soumis à stress hydrique;m³;eau, stress hydrique, risques, zones arides, prélèvement, m³, environnement, gestion durable, indicateur hydrique, climat;water, water stress, risk, arid zones, withdrawal, m³, environment, sustainable management, hydric indicator, climate;B6_3;1
9;B7;Ressources / Économie circulaire;Quantité totale de déchets produits;tonnes;déchets, production, tonnes, économie circulaire, gestion, environnement, valorisation, bilan matière, recyclage, pollution;waste, production, tons, circular economy, management, environment, valorization, material balance, recycling, pollution;B7_1;1
